term,HR,CI_lower,CI_upper,p_value
niacin_q2,0.9747,0.8620,1.1021,0.6824
niacin_q3,0.9743,0.8581,1.1061,0.6870
niacin_q4,0.9393,0.8207,1.0750,0.3633
SEX,0.508001403,0.460072477,0.560923417,6.49E-41
RACE,0.919164893,0.813377561,1.038710853,0.17664847
SCHOOL,0.966269054,0.934096235,0.999549993,0.047031543
MARRY,1.061129202,1.019050013,1.104945947,0.004052549
URBAN,0.967927985,0.880557687,1.0639673,0.49945024
BOOZE,1.004358269,0.995115601,1.013686784,0.356559745
AVGSMK,1.019732153,1.016631048,1.022842718,2.93E-36
BMI,0.983257049,0.973644056,0.992964953,7.56E-04
ANGINA,1.367869346,1.238648534,1.510570994,6.13E-10
ARTHRITI,0.975948481,0.887558637,1.073140859,0.615232001
ASPIRIN,1.100693643,0.999656529,1.211942762,0.050823023
HTN_REP,1.416683445,1.290076415,1.555715584,3.05E-13
STROKE,1.613656822,1.351193666,1.92710224,1.27E-07
